drugName	cui	tty
Calcitriol	C0006674	IN
Calcium 600	C0719094	BN
Calcium Antacid Extra Strength	C0719095	BN
Calcium Antacid Ultra Strength	C0719096	BN
Calcium Carbimide	C1611088	IN
Calcium Carbonate	C0006681	IN
Calcium Chloride Dihydrate	C0724543	IN
Calcium Chloride	C0006686	IN
Calcium Citrate	C0108101	IN
Calcium Concentrate	C0719099	BN
Calcium Cyclamate	C0600195	IN
Calcium Disodium Edetate	C0006692	IN
Calcium Disodium Versenate	C0701375	BN
Calcium Dobesilate	C0006694	IN
Calcium Fluoride	C0006695	IN
Calcium Glucarate	C0006698	IN
Calcium Gluconate	C0006699	IN
Calcium Glycerophosphate	C0006700	IN
Calcium Ipodate	C0006703	IN
Calcium Lactate Pentahydrate	C0719101	IN
Calcium Liquid Softgel	C0719102	BN
Calcium Pantothenate	C0006710	IN
Calcium Stool Softener	C0719104	BN
Calcium Sulfate	C0006720	IN
Calcium Valproate	C0006724	IN
Calcium antacid	C0304542	BN
Calcium ascorbate	C0546173	IN
Calcium gluceptate	C0108111	IN
Calcium iodide	C0770199	IN
Calcium oxide	C0064990	IN
Calcium phosphate dibasic	C0108134	IN
Calcium polystyrene sulfonate product	C0108139	IN
Calcium sulfaloxate	C0350881	IN
Calcium undecylenate	C0301329	IN
Calcium-Sandoz	C0591217	BN
Calcium	C0006675	IN
Calcort	C0593761	BN
Caldecort	C0719108	BN
Calderol	C1160746	BN
Caldesene Powder	C0719110	BN
Caldesene	C0719109	BN
Caldyphen	C0719111	BN
Calendula officinalis extract	C0939875	IN
Calgon Vesta	C0719112	BN
Calimal	C0591218	BN
Callergy	C0719113	BN
Calm-Aid	C0719115	BN
Calmol-4	C0719116	BN
Calphosan	C0305537	BN
Calphron	C0719117	BN
Calpol Six Plus	C0731036	BN
Calpol	C0591219	BN
Calprazolam	C1602307	BN
Calsynar	C0591220	BN
Caltrate 600 + Iron & Vitamin D	C0305539	BN
Caltrate 600 + Vitamin D	C0305540	BN
Caltrate 600 with D Plus Soy	C1170117	BN
Caltrate Colon Health	C1170118	BN
Caltrate	C0719118	BN
Caltro with Vitamin D	C0719122	BN
Caltro	C0719121	BN
Calube	C0719123	BN
Cam-Metrazine	C1602899	BN
Cambendazole	C0006796	IN
Cambridge Mepivacaine	C1588902	BN
Cambridge epinephrine lidocaine combination	C1588972	BN
Camila	C1170119	BN
Camoquine	C0282050	BN
Campath	C0939276	BN
Campho-Phenique Maximum Strength	C0719125	BN
Campho-Phenique	C0719124	BN
Camphor Spirit	C0719126	BN
Camphor	C0006809	IN
Campral	C0592792	BN
Campto	C0701187	BN
Camptosar	C0701188	BN
Canal Plus	C1590089	BN
Canasa	C0678169	BN
Cancidas	C0935984	BN
Candida albicans	C0006837	IN
Canesten AF	C0592772	BN
Canesten VC	C0731040	BN
Canesten	C0699669	BN
Canges HC	C1635219	BN
Canges XP	C1739464	BN
Cank-Oxide	C0719130	BN
Cankaid	C0719131	BN
Canker Sore brand of carbamide peroxide	C0719132	BN
Canrenoate Potassium	C0006881	IN
Canrenoate	C1703665	IN
Canrenoic Acid	C0282085	IN
Canrenone	C0006882	IN
Cantassium folic acid	C0731042	BN
Cantassium vitamin E	C0731044	BN
Cantharidin	C0006886	IN
Cantharis vesicatoria preparation	C0885180	IN
Cantharone	C1589560	BN
Canthaxanthin	C0085210	IN
Cantil brand of mepenzolate	C0719133	BN
Cap-Profen	C0719134	BN
Capastat	C0699977	BN
Capex	C0939278	BN
Capital with Codeine	C0719135	BN
Capitrol	C0719136	BN
Caplenal	C0591223	BN
Capoten	C0591224	BN
Capozide 25/15	C0719137	BN
Capozide 25/25	C0719138	BN
Capozide 50/15	C0719139	BN
Capozide 50/25	C0719140	BN
Capozide	C0054611	BN
Capreomycin Sulfate	C0006920	IN
Capreomycin	C0262964	IN
Caprin	C0591226	BN
Capromab Pendetide	C0529572	IN
Capropril	C1602099	BN
Capsaicin	C0006931	IN
Capsicum extract	C1095803	IN
Capsin	C0719141	BN
Captodiamine hydrochloride	C0771426	IN
Captodiamine	C0301409	IN
Captopril	C0006938	IN
Capzasin-HP Arthritis Formula	C0719143	BN
Capzasin-P	C0719144	BN
Carac	C0939777	BN
Carace Plus	C0591229	BN
Carace	C0591228	BN
Carafate	C0740157	BN
Caramiphen edisylate	C0521946	IN
Carb PSE 12 DM	C1724124	BN
Carb Pseudo-Tan	C1711678	BN
Carba XP	C1601492	BN
Carbachol	C0006945	IN
Carbacot	C0719147	BN
Carbalax	C0591230	BN
Carbamazepine	C0006949	IN
Carbarson	C0054654	IN
Carbaryl	C0036860	IN
Carbastat	C1452463	BN
Carbatab 12	C1813711	BN
Carbatrol	C0719149	BN
Carbatuss Syrup	C1949120	BN
Carbatuss-12	C1948974	BN
Carbatuss-CL	C1948977	BN
Carbatuss	C0939279	BN
Carbaxef-DM	C1170122	BN
Carbaxefed DM FR	C1589904	BN
Carbaxefed RF	C1170123	BN
Carbenicillin Disodium	C0813202	IN
Carbenicillin Phenyl Sodium	C0085959	IN
Carbenicillin indanyl sodium	C0142817	IN
Carbenicillin	C0006976	IN
Carbenoxolone Sodium	C0006980	IN
Carbenoxolone	C0006979	IN
Carbetaplex TS	C1962075	BN
Carbetaplex	C1636678	BN
Carbex	C0108370	BN
Carbidopa	C0006982	IN
Carbimazole	C0006983	IN
Carbinox Pseud and DM RF	C1589907	BN
Carbinox	C1588288	BN
Carbinoxamine PD	C1170126	BN
Carbinoxamine Tannate	C1331203	IN
Carbinoxamine maleate	C0304300	IN
Carbiset TR	C0939281	BN
Carbiset	C0719152	BN
Carbo-Dome	C0731051	BN
Carbocaine HCl	C0719153	BN
Carbocaine with Neo-Cobefrin	C1588425	BN
Carbocaine	C0006987	BN
Carbocysteine	C0006992	IN
Carbodec TR	C0939282	BN
Carbodec-DM	C0719155	BN
Carbodec	C0719154	BN
Carbodex DM	C0719156	BN
Carbodopa	C1602268	BN
Carbofed DM Drops	C1170128	BN
Carbofed DM	C0719158	BN
Carbofed	C0719157	BN
Carbomer-980	C1273035	IN
Carbomer	C0770624	IN
Carbon Dioxide	C0007012	IN
Carbon Monoxide	C0007018	IN
Carboplatin Novaplus	C1813281	BN
Carboplatin	C0079083	IN
Carboprost	C0007047	IN
Carboptic	C0719159	BN
Carboxine 12 D	C1724128	BN
Carboxine 12 DM	C1724129	BN
Carboxine D	C1724134	BN
Carboxine DM	C1724130	BN
Carboxine-PSE	C1330124	BN
Carboxine	C1330123	BN
Carboxymethylcellulose Sodium	C0037487	IN
Carboxymethylcellulose	C0007068	IN
Carbutamide	C0007080	IN
Cardec DM Drops Reformulated Jun 2007	C1949216	BN
Cardec DM Drops	C1816252	BN
Cardec DM Reformulated Jun 2007	C1949203	BN
Cardec DM	C0164517	BN
Cardec Drops Reformulated Jun 2007	C1949212	BN
Cardec Drops	C1816260	BN
Cardec TR	C0939283	BN
Cardec	C0719160	BN
Cardene IV	C0719163	BN
Cardene SR	C0591233	BN
Cardene	C0591232	BN
Cardiacap	C1262603	BN
Cardilate MR	C0590666	BN
Cardinol	C0591234	BN
Cardiology Pack	C1589715	BN
Cardioquin	C0719165	BN
Cardiotek RX	C1619267	BN
Cardizem CD	C0719166	BN
Cardizem LA	C1330126	BN
Cardizem Lyo-Ject	C0719167	BN
Cardizem Monovial	C0875982	BN
Cardizem SR	C0719168	BN
Cardizem	C0700940	BN
Cardoxin	C0308607	BN
Cardura	C0678136	BN
Care-Creme	C1699578	BN
Carglumic acid	C1318649	IN
Carica Papaya preparation	C1110620	IN
Caricia Care	C1699579	BN
Carimune NF	C1620940	BN
Carimune	C1170131	BN
Carisoma	C0591235	BN
Carisoprodol	C0007248	IN
Carizem	C1601773	BN
Carles Gel	C1875949	BN
Carles	C1703106	BN
Carmol 10	C1170133	BN
Carmol HC	C0719170	BN
Carmol Scalp	C0939285	BN
Carmol-20	C0719171	BN
Carmol-40	C0719172	BN
Carmol	C0728793	BN
Carmustine	C0007257	IN
Carnitine	C0007258	IN
Carnitor	C0591236	BN
Caroguard	C0719173	BN
Caroid Laxative	C0719174	BN
Carozide	C0719176	BN
Carteolol Hydrochloride	C0543450	IN
Carteolol	C0007299	IN
Carters Little Pills	C0719180	BN
Cartia XT	C0875983	BN
Cartia	C1577475	BN
Cartrol	C0719181	BN
Carylderm	C0731053	BN
Casanthranol	C0205705	IN
Cascara Sagrada Fluid Extract	C0719182	IN
Cascara sagrada	C0205704	IN
Casodex	C0591237	BN
Caspofungin acetate	C0935942	IN
Caspofungin	C0537894	IN
Castellani Paint Colorless	C0719185	BN
Castellani Paint	C0969768	BN
Castiva Warming	C1873711	BN
Castor Oil	C0007343	IN
Cat Hair Extract	C0789408	IN
Cat's Claw preparation	C0939876	IN
Catacand	C1601967	BN
Cataflam	C0719187	BN
Catapres Perlonget	C1256479	BN
Catapres-TTS-1	C0719188	BN
Catapres-TTS-2	C0719189	BN
Catapres-TTS-3	C0719190	BN
Catapres	C0699881	BN
Catarase	C0719191	BN
Cathflo Activase	C1170135	BN
Catulac	C1589304	BN
Caverject	C0591238	BN
CaviRinse	C1724464	BN
Cavilon Durable Barrier Cream	C1831750	BN
Cayenne	C0873002	IN
Ceberclon	C1588159	BN
Ceclor CD	C0719192	BN
Ceclor Pulvules	C0719193	BN
Ceclor	C0701133	BN
Cecon	C0699147	BN
Cedax	C0591239	BN
Cedocard IV	C1254046	BN
Cedocard Retard	C0590714	BN
Cedocard	C0590713	BN
Cee-500	C0719194	BN
CeeNU	C0699181	BN
Cefaclor CD	C0939286	BN
Cefaclor ER	C1170136	BN
Cefaclor	C0007537	IN
Cefadroxil Monohydate	C0719195	BN
Cefadroxil monohydrate	C0701889	IN
Cefadroxil	C0007538	IN
Cefadyl	C0733791	BN
Cefamandole	C0007541	IN
Cefatrizine	C0007545	IN
Cefazolin Sodium Novaplus	C1876737	BN
Cefazolin Sodium	C0700526	IN
Cefazolin	C0007546	IN
Cefepime hydrochloride	C0771284	IN
Cefixime	C0060400	IN
Cefizox	C0701023	BN
Cefmetazole Sodium	C0700470	IN
Cefmetazole	C0007550	IN
Cefobid	C0733366	BN
Cefonicid Monosodium	C0886812	IN
Cefonicid	C0007551	IN
Cefoperazone Sodium	C0733367	IN
Cefoperazone	C0007552	IN
Cefotan	C0007553	BN
Cefotaxime Sodium	C0700445	IN
Cefotaxime	C0007554	IN
Cefotetan Disodium	C0700471	IN
Cefotetan	C0007555	IN
Cefotiam Hydrochloride	C0771454	IN
Cefotiam	C0007556	IN
Cefoxitin Sodium	C0700446	IN
Cefoxitin	C0007557	IN
Cefrom	C0591240	BN
Cefsulodin Sodium	C0887647	IN
Cefsulodin	C0007558	IN
Ceftazidime	C0007559	IN
Ceftin	C0719197	BN
Ceftizoxime Sodium	C0282391	IN
Ceftizoxime	C0007560	IN
Ceftriaxone Sodium	C0700527	IN
Ceftriaxone	C0007561	IN
Cefuroxime sodium	C0701852	IN
Cefuroxime	C0007562	IN
Cefzil	C0728743	BN
Celebrex	C0719198	BN
Celectol	C0591242	BN
Celestone Soluspan	C0108966	BN
Celestone phosphate	C1110622	BN
Celestone	C0701247	BN
Celevac	C0591243	BN
Celexa	C0719199	BN
Celiprolol Monohydrochloride	C0700475	IN
Celiprolol	C0055021	IN
Cell-U-Jec	C0719200	BN
Cellcept	C0592558	BN
Cellucon	C1262550	BN
Cellugel	C0939287	BN
Cellulose sodium phosphate	C1145610	IN
Cellulose, Oxidized	C0007649	IN
Cellulose	C0007648	IN
Celontin	C0729224	BN
Cemill 1000	C0719202	BN
Cemill 500	C0719203	BN
Cena K	C0719204	BN
Cenafed	C0700729	BN
Cenestin	C0875984	BN
Cenolate	C0699151	BN
Centany	C1330130	BN
Centex	C1601994	BN
Centrapryl	C0592774	BN
Centrax	C0878010	BN
Centrum Singles-Beta Carotene	C0719211	BN
Centrum Singles-Vitamin C	C0719212	BN
Centrum Singles-Vitamin E	C0719213	BN
Centyl	C1263543	BN
Ceo-Two	C1711720	BN
Cepacol Spray	C1875952	BN
Cepacol	C0007713	BN
Cepastat Extra Strength	C1170144	BN
Cepastat	C0719218	BN
Cephadyn	C0719219	BN
Cephaelis Ipecacuanha Preparation	C0994437	IN
Cephalexin Monohydrate	C0719220	IN
Cephalexin Monohydrochloride, Monohydrate	C0919352	IN
Cephalexin	C0007716	IN
Cephaloridine	C0007727	IN
Cephalothin	C0007735	IN
Cephapirin Sodium	C0085905	IN
Cephapirin	C0007737	IN
Cephradine	C0007738	IN
Cephulac	C0719221	BN
Ceptaz	C0719222	BN
Ceramides	C0007745	IN
Cerebral Phospholipids	C1618782	IN
Cerebrovase	C0591245	BN
Cerebyx	C0525944	BN
Ceredase	C0109081	BN
Cereflin	C1703434	BN
Cerefolin NAC	C1700680	BN
Cerefolin	C1330131	BN
Cerezyme	C0291139	BN
Cerium oxalate	C0982068	IN
Cerivastatin sodium	C0724549	IN
Ceron Drops	C1635216	BN
Ceron-DM Drops	C1636248	BN
Ceron-DM	C1656647	BN
Ceron	C1635199	BN
Cerose-DM	C0305591	BN
Cerovel	C1613607	BN
Certiva	C1170146	BN
Certoparin sodium	C0592534	IN
Certuss D	C1590884	BN
Certuss	C1813160	BN
Cerubidin	C0594564	BN
Cerubidine	C0701063	BN
Cerumenex	C0055126	BN
Cervical Amino Acid	C0719231	BN
Cervidil	C0719232	BN
Cesamet	C1263104	BN
Ceta Plus	C0719233	BN
Cetacaine	C0055141	BN
Cetacort	C0699387	BN
Cetaderm	C1612498	BN
Cetamide	C0719235	BN
Cetapred	C0719240	BN
Cetavlex	C0730806	BN
Cetazone T	C1590217	BN
Cetirizine Dihydrochloride	C0700480	IN
Cetirizine	C0055147	IN
Cetrimide	C0950191	IN
Cetrimides	C0007903	IN
Cetrorelix acetate	C0872997	IN
Cetrotide	C0939290	BN
Cetyl dimethicone	C1273021	IN
Cetylpyridinium Chloride	C0007907	IN
Cetylpyridinium	C0007906	IN
Cevi-Bid	C0719241	BN
Cevimeline hydrochloride	C0874063	IN
Chamomile Oil	C0109265	IN
Chantix	C1712042	BN
Char-Flo with Sorbitol	C0719243	BN
Char-Flo	C1170147	BN
CharcoAid	C0305603	BN
CharcoCaps	C0305605	BN
Charcoaid 2000	C0719244	BN
Charcoaid-G	C0719245	BN
Charcoal Plus DS	C0719246	BN
Charcoal	C0007955	IN
Chardonna-2	C0719247	BN
Chaste tree preparation	C0771966	IN
Chelidonium majus preparation	C0939872	IN
Chem-Sol	C0719249	BN
Chemdal Expectorant	C0719251	BN
Chemdal HD Plus	C0719253	BN
Chemdal HD	C0719252	BN
Chemdal	C0719250	BN
Chemdec DM	C0719255	BN
Chemdec	C0719254	BN
Chemet	C0719256	BN
Chemocycline	C1171495	BN
Chemtussin HC	C0719257	BN
Chemydur 60XL	C0731933	BN
Chendol	C0591248	BN
Chenocedon	C1262564	BN
Chenodeoxycholate	C0085994	IN
Chenodeoxycholic Acid	C0008024	IN
Chenofalk	C0591249	BN
Cheracol D Cough	C0719259	BN
Cheracol Plus	C0719260	BN
Cheracol Sore Throat	C0875985	BN
Cheracol with Codeine	C0719262	BN
Cheracol-D	C0719263	BN
Cheratussin AC	C0719264	BN
Cheratussin DAC	C0719265	BN
Chewable Calcium	C0719266	BN
ChiRhoStim	C1882990	BN
Chibroxin	C0719270	BN
Chickenpox Vaccine	C0078048	IN
Child APAP	C0718175	BN
Child Allergy	C0719274	BN
Child Aspirin	C0718688	BN
Child No-Aspirin	C0719276	BN
Child Non-Aspirin	C0719277	BN
Child Pain Reliever	C0719279	BN
Child Pain	C0719278	BN
Child Silapap	C0719280	BN
Child Tylenol Cold Multi-Symptom Plus Cough	C0719282	BN
Children's Decongestant	C0730808	BN
Childrens Elixsure	C1589295	BN
Childrens Formula	C0719284	BN
Childrens Grape Allergy	C0719285	BN
Childrens Ibuprofen Berry	C0876884	BN
Childrens Ibuprofen Cold	C1330133	BN
Childrens Kaopectate	C1330134	BN
Childrens Multi-symptom Plus Cough	C0719286	BN
Childrens Night Time	C0719287	BN
Childrens NyQuil	C0719288	BN
Childrens Panadol	C0719289	BN
Childrens Tylenol Allergy-D	C0939291	BN
Childrens Tylenol Cold Multi-Symptom	C1170153	BN
Childrens Tylenol Cold Plus Cough	C1170154	BN
Childrens Tylenol Cold	C1170152	BN
Childrens Tylenol Flu	C1170155	BN
Childrens Tylenol	C1170151	BN
Chimax	C0595574	BN
Chirocaine	C0875986	BN
Chitosan	C0162969	IN
Chlo-Amine	C0719290	BN
Chlor Trimeton Allergy Decongestant SR	C0939687	BN
Chlor Trimeton Allergy Decongestant	C0719291	BN
Chlor Trimeton Nasal Decongestant	C0719292	BN
Chlor-Al Rel	C0719293	BN
Chlor-Mal	C0719294	BN
Chlor-Mes D	C1170157	BN
Chlor-Mes	C1703671	BN
Chlor-Phen	C0719295	BN
Chlor-Phenit	C0719296	BN
Chlor-Tan A 12	C1962275	BN
Chlor-Trimeton Allergy SR	C0939292	BN
Chlor-Trimeton Sinus	C0719297	BN
Chlor-Trimeton	C0699075	BN
ChlorDex GP	C1170158	BN
ChlorTan D	C1876740	BN
ChlorTan	C1876739	BN
Chloracol	C0719298	BN
Chlorafed H.S. Timecelles	C0719300	BN
Chlorafed Timecelles	C0719301	BN
Chlorafed	C0719299	BN
Chloral Hydrate	C0008161	IN
Chloral betaine	C0301404	IN
Chlorambucil	C0008163	IN
Chloramphenicol sodium succinate	C0109354	IN
Chloramphenicol	C0008168	IN
Chloraseptic Liquid	C0305620	BN
Chloraseptic Spray	C0876728	BN
Chloraseptic	C0055342	BN
Chlorate brand of chlorpheniramine maleate	C1154250	BN
Chlorazepate	C0008174	IN
Chlorcyclizine hydrochloride	C0770863	IN
Chlordiazepoxide Hydrochloride	C0700528	IN
Chlordiazepoxide	C0008188	IN
Chlordinium	C0719306	BN
Chlordrine SR	C0719307	BN
Chloresium Topical	C0719309	BN
Chloresium	C0719308	BN
Chlorex A12	C1615821	BN
Chlorex A	C1170159	BN
Chlorfed-A	C1170160	BN
Chlorgest HD	C0719310	BN
Chlorhexidine Acetate	C0008197	IN
Chlorhexidine Hydrochloride	C0008199	IN
Chlorhexidine	C0008196	IN
Chlorhexigard	C1589292	BN
Chloride Ion	C0596019	IN
Chlormadinone Acetate	C0008214	IN
Chlormadinone	C0262965	IN
Chlormethiazole	C0008221	IN
Chlormezanone	C0008223	IN
Chlornade	C0719311	BN
Chloroacetate	C0109398	IN
Chlorobutanol	C0008232	IN
Chloroguanide Hydrochloride	C0546856	IN
Chloroguanide	C0008241	IN
Chloromag	C0719312	BN
Chloromycetin Ophthalmic	C0719313	BN
Chloromycetin Otic	C0305630	BN
Chloromycetin Redidrops	C1177026	BN
Chloromycetin Sodium Succinate	C0305632	BN
Chloromycetin	C0591251	BN
Chlorophyll	C0008260	IN
Chloroprocaine hydrochloride	C0132182	IN
Chloroptic S.O.P.	C0305633	BN
Chloroptic	C0719314	BN
Chloroquine Sulfate	C0700447	IN
Chloroquine hydrochloride	C1383389	IN
Chloroquine	C0008269	IN
Chlorostat 4	C0719316	BN
Chlorostat	C0719315	BN
Chlorothiazide sodium	C0304489	IN
Chlorothiazide	C0008273	IN
Chlorotrianisene	C0008275	IN
Chlorphedrin SR	C0719317	BN
Chlorphen HD	C0719319	BN
Chlorphen	C0719318	BN
Chlorphenesin	C0008280	IN
Chlorpheniramine Maleate	C0546857	IN
Chlorpheniramine Tannate	C0724552	IN
Chlorpheniramine/Phenyleph/PPA/Phenyltolox Ped	C0939296	BN
Chlorpheniramine	C0008281	IN
Chlorpromazine hydrochloride	C0355077	IN
Chlorpromazine	C0008286	IN
Chlorpropamide	C0008287	IN
Chlorprothixene hydrochloride	C0304384	IN
Chlorprothixene	C0008290	IN
Chlorquinaldol	C0008292	IN
Chlortetracycline Hydrochloride	C0085855	IN
Chlortetracycline	C0008293	IN
Chlorthalidone	C0008294	IN
Chlortox	C0719322	BN
Chlorzoxazone	C0008296	IN
Chlotride	C1602271	BN
Chocolaxed	C0719323	BN
Chocovite	C0591252	BN
Cholac	C0719324	BN
Cholan-HMB	C1170163	BN
Cholecalciferol	C0008318	IN
Cholecystokinin	C0008328	IN
Choledyl-SA	C0109529	BN
Choledyl	C0591253	BN
Cholera Vaccine	C0008359	IN
Cholesterol	C0008377	IN
Cholestin	C1154253	BN
Cholestyramine	C0008402	IN
Choline Bitartrate	C0008408	IN
Choline Citrate	C0008411	IN
Choline Magnesium Trisalicyclate	C0719064	IN
Choline	C0008405	IN
Cholografin Meglumine	C0719329	BN
Choloxin	C0733795	BN
Chondroitin 4-Sulfate	C0086008	IN
Chondroitin Sulfate 4-Sulfate, Sodium Salt	C0887492	IN
Chondroitin Sulfate A Sodium	C1509932	IN
Chondroitin Sulfate, Sodium Salt	C0086999	IN
Chondroitin Sulfates	C0008466	IN
Chondroitin	C0008454	IN
Chooz	C0719330	BN
Choragon	C0594023	BN
Chorex	C0719331	BN
Chorigon	C0719332	BN
Chorionic Gonadotropin	C0018062	IN
Choron-10	C0719333	BN
Chorpromazine	C1601714	BN
Chroma-Pak	C0719334	BN
Chromic phosphate P32	C0392428	IN
Chromic sulfate	C0303208	IN
Chromium GTF	C0719339	BN
Chromium Polynicotinate	C1876564	IN
Chromium	C0008574	IN
Chromonar Hydrochloride	C0282103	IN
Chromonar	C0008593	IN
Chronulac	C0719340	BN
Chymar-Zon	C1263250	BN
Chymodiactin	C0917790	BN
Chymopapain	C0008736	IN
Chymosin	C0035100	IN
Cialis	C0967376	BN
Ciclopirox olamine	C0126169	IN
Cidofovir	C0286079	IN
Cidomycin	C0591255	BN
Cilastatin Sodium	C0282395	IN
Cilastatin	C0008777	IN
Cilazapril	C0055723	IN
Cilium brand of psyllium	C0719341	BN
Ciloxan	C0701044	BN
Cimetidine Hydrochloride	C0304539	IN
Cimetidine	C0008783	IN
Cina artemisia preparation	C0937767	IN
Cinalog	C1170165	BN
Cinazière	C0591256	BN
Cinchona Pubescens Preparation	C0937610	IN
Cinchona officinalis preparation	C1165938	IN
Cinnamon Bark	C1509960	IN
Cinnamon Preparation	C0939899	IN
Cinnarizine	C0008803	IN
Cinobac	C0591257	BN
Cinolar	C1170166	BN
Cinolone	C1588705	BN
Cinoxacin	C0008806	IN
Cipramil	C0591259	BN
Cipro HC	C0719343	BN
Cipro I.V.	C0305644	BN
Cipro XR	C1170167	BN
Cipro	C0701042	BN
Ciprodex	C1330135	BN
Ciproflaxacin	C1601917	BN
Ciprofloxacin Hydrochloride	C0282104	IN
Ciprofloxacin	C0008809	IN
Ciproxin	C0591260	BN
Cisapride	C0072916	IN
Cisatracurium	C1096766	IN
Cisplatin Novaplus	C1330136	BN
Cisplatin	C0008838	IN
Cit Calcium	C0719345	BN
Citalopraam	C1602003	BN
Citalopram hydrobromide	C0724555	IN
Citalopram	C0008845	IN
Citanest Forte	C0719346	BN
Citanest HCl Plain	C0719347	BN
Citanest SDV	C0730811	BN
Citanest	C0591261	BN
Citra pH	C0719348	BN
Citracal Caplets Plus D	C0875988	BN
Citracal Creamy Bites	C1949516	BN
Citracal Liquitab	C0305646	BN
Citracal Petites	C1949574	BN
Citracal	C0719349	BN
Citralopram	C1812823	IN
Citrate of Magnesia	C0719352	BN
Citrate	C0376259	IN
Citric Acid	C0055819	IN
Citrical plus D	C1948979	BN
Citrical	C0730813	BN
Citrolith	C0719354	BN
Citroma	C0719355	BN
Citrucel SF	C0875990	BN
Citrucel	C0305648	BN
Citrulline	C0008864	IN
Citrus Pectin extract	C1615680	IN
Citrus Pectin	C0937931	IN
Cladribine Novaplus	C1170168	BN
Cladribine	C0092801	IN
Claforan	C0701052	BN
Clairte	C1742018	BN
Clairvan	C1186800	BN
Claradin	C1263634	BN
Claravis brand of isotretinoin	C1331177	BN
Clarifoam EF	C1948983	BN
Clarifoam	C1948883	BN
Clarine	C0719356	BN
Clarinex Reditabs	C1330137	BN
Clarinex-D	C1619314	BN
Clarinex	C1101146	BN
Claripel	C1170169	BN
Clarithromycin	C0055856	IN
Claritin Reditab	C1167553	BN
Claritin-D 24 Hour	C0719360	BN
Claritin-D	C0719359	BN
Claritin	C0701055	BN
Clavulanate	C0110038	IN
Clavulanic Acid, Monopotassium Salt	C0137997	IN
Clavulanic Acid	C0055860	IN
Clear Away	C0719363	BN
Clear By Design	C0719364	BN
Clear Eyes ACR	C0719366	BN
Clear Eyes	C0719365	BN
Clear-Atadine-D	C1649608	BN
Clear-Atadine	C1628525	BN
Clearasil Overnight Defense	C1815056	BN
Clearplex	C0719368	BN
Clearskin	C1330145	BN
Clearsol	C0292615	BN
Cleartuss DH	C0719369	BN
Cleevec	C1724336	BN
Clemastine Fumarate	C0546858	IN
Clemastine	C0008929	IN
Clenbuterol	C0008932	IN
Clenia Emollient	C1331181	BN
Clenia Foaming Wash	C1330146	BN
Clenia	C1588776	BN
Cleocin HCl	C0719370	BN
Cleocin Ovules	C0875991	BN
Cleocin Pediatric	C0719371	BN
Cleocin T	C0719372	BN
Cleocin Vaginal	C0719373	BN
Cleocin phosphate	C1119917	BN
Cleocin	C0699673	BN
Clidinium bromide	C0110059	IN
Climara Pro	C1320116	BN
Climara	C1105819	BN
Climaval	C0591266	BN
Clinac BPO	C0939688	BN
Clinacort	C1170171	BN
Clinagen LA 40	C1170172	BN
Clinalog	C1170173	BN
Clinda-Derm	C0719375	BN
Clindagel	C1170174	BN
Clindamax	C1330147	BN
Clindamycin Hydrochloride	C0282105	IN
Clindamycin palmitate hydrochloride	C0304311	IN
Clindamycin	C0008947	IN
Clindamylin	C1589381	BN
Clindesse	C1529601	BN
Clindex	C0719377	BN
Clinicide	C0730815	BN
Clinidine	C0719378	BN
Clinimix	C1616790	BN
Clinitar	C0918031	BN
Clinium	C0878441	BN
Clinoril	C0591267	BN
Clioquinol	C0021978	IN
Clobetasol Propionate	C0055895	IN
Clobetasol	C0008992	IN
Clobetasone	C0360518	IN
Clobevate	C0875993	BN
Clobex	C1330150	BN
Cloburate	C0730817	BN
Clodronic Acid	C0012081	IN
Clofazimine	C0008996	IN
Clofibrate	C0009002	IN
Clolar	C1530623	BN
Clomid	C0591268	BN
Clomiphene Citrate	C0546859	IN
Clomiphene	C0009008	IN
Clomipramine Hydrochloride	C0282107	IN
Clomipramine	C0009010	IN
Clomocycline sodium	C0350817	IN
Clonazepam	C0009011	IN
Clonidine Hydrochloride	C0546860	IN
Clonidine	C0009014	IN
Clonixin	C0009018	IN
Clonodine	C1588201	BN
Clopamide	C0009025	IN
Clopixol Acuphase	C0165414	BN
Clopixol Conc	C0591270	BN
Clopixol	C0701056	BN
Cloprostenol Sodium	C0701899	IN
Cloprostenol	C0009030	IN
Clorazepam	C1588150	BN
Clorazepate Dipotassium	C0009033	IN
Clorfed II	C0719382	BN
Clorfed	C0719381	BN
Cloroquine	C1601614	BN
Clorpactin WCS-90	C0305666	BN
Clorpres	C0719383	BN
Clotam Rapid	C0594919	BN
Clotam	C0593563	BN
Clotrimazole-3	C0875994	BN
Clotrimazole-7	C0719384	BN
Clotrimazole	C0009074	IN
Clove oil	C0028906	IN
Cloxacillin Sodium	C0037496	IN
Cloxacillin	C0009077	IN
Cloxapen	C0719385	BN
Clozapine	C0009079	IN
Clozaril	C0719386	BN
Co-Apap	C0719387	BN
Co-Gesic	C0719388	BN
Co-Histine DH	C0719389	BN
Co-Histine Expectorant	C0719390	BN
Co-Lav	C0719391	BN
Co-Tuss V Expectorant	C0719392	BN
Co-Tussin	C0719393	BN
Coagulation Factor IX (Human)	C1703859	IN
Coal Tar	C0009137	IN
Coal tar extract	C0303760	IN
Coal tar pitch volatiles	C0303757	IN
Coated Aspirin	C0719394	BN
Cobagi Nuderm	C1614168	BN
Cobal-1000	C0719395	BN
Cobal	C1589419	BN
Cobalamins	C0086024	IN
